Naziv usluge;Maloprodajna cijena;Jedinica;Cijena na dan 10.09.2026.;Jedinica sidrene cijene
Noćenje 12.01.2026. – 31.07.2026.;150.00;EUR / noć;150.00;EUR / noć
Noćenje 01.08.2026. – 31.08.2026.;150.00;EUR / noć;150.00;EUR / noć
Noćenje 01.09.2026. – 14.12.2026.;150.00;EUR / noć;150.00;EUR / noć
Noćenje 15.12.2026. – 11.01.2027.;300.00;EUR / noć;300.00;EUR / noć
Dodatna naknada za 5. i 6. gosta;20.00;EUR / osoba / noć;20.00;EUR / osoba / noć
Kućni ljubimac;10.00;EUR / ljubimac / noć;10.00;EUR / ljubimac / noć
